X,mean,MOEA_D,NSGA_II,R2_MOEA,VSD_MOEA,MOEA_D_Distance,NSGA_II_Distance,R2_MOEA_Distance,VSD_MOEA_Distance,MOEA_D_Position,NSGA_II_Position,R2_MOEA_Position,VSD_MOEA_Position
1,$0\%$,1.985207,1.984417,1.986497,1.986663,1.807407,1.808157,1.81023,1.810232,0.782039,0.778656,0.779103,0.779209
2,$10\%$,0.312703,0.735361,0.424403,2.276377,0,0.020576,0,1.997102,0.312703,0.732726,0.424403,1.039395
3,$20\%$,0.300302,0.772739,0.417191,2.091339,0,0.022724,0,1.8001,0.300302,0.769376,0.417191,1.006603
4,$30\%$,0.294884,0.757726,0.416219,1.902904,0,0.019698,0,1.588103,0.294884,0.755548,0.416219,0.985091
5,$40\%$,0.292372,0.744102,0.413795,1.713856,1.4E-05,0.020353,0,1.383148,0.292369,0.741519,0.413795,0.944641
6,$50\%$,0.292432,0.754327,0.410226,1.522913,0,0.020532,0,1.194486,0.292432,0.75178,0.410226,0.873601
7,$60\%$,0.291674,0.745752,0.407471,1.322712,0,0.019345,0,1.013414,0.291674,0.743413,0.407471,0.782055
8,$70\%$,0.289515,0.749718,0.407819,1.125514,0,0.021786,0,0.769418,0.289515,0.746783,0.407819,0.755296
9,$80\%$,0.290107,0.745985,0.406643,0.86889,0,0.019908,0,0.473478,0.290107,0.74355,0.406643,0.669687
10,$90\%$,0.288882,0.751796,0.405737,0.459814,0,0.019941,0,0.004412,0.288882,0.749335,0.405737,0.459079
11,$100\%$,0.289064,0.749604,0.406712,0.467241,0,0.022551,0,0.000399,0.289064,0.746387,0.406712,0.467186
