X,mean,VSD_MOEA_Distance_50,R2_MOEA_Distance_50,NSGA_II_Distance_50,MOEA_D_Distance_50,VSD_MOEA_Distance_100,R2_MOEA_Distance_100,NSGA_II_Distance_100,MOEA_D_Distance_100,VSD_MOEA_Distance_250,R2_MOEA_Distance_250,NSGA_II_Distance_250,MOEA_D_Distance_250,VSD_MOEA_Position_50,R2_MOEA_Position_50,NSGA_II_Position_50,MOEA_D_Position_50,VSD_MOEA_Position_100,R2_MOEA_Position_100,NSGA_II_Position_100,MOEA_D_Position_100,VSD_MOEA_Position_250,R2_MOEA_Position_250,NSGA_II_Position_250,MOEA_D_Position_250
1,$0\%$,0.406656,0.406253,0.406146,0.407156,0.407899,0.407163,0.406888,0.407446,0.408017,0.407733,0.408026,0.408086,0.398349,0.400745,0.397577,0.397193,0.403673,0.403596,0.402592,0.403874,0.405594,0.406164,0.406124,0.407527
2,$10\%$,0.382632,0.002993,0.012274,0.016789,0.359939,0.0069,0.022598,0.033087,0.347673,0.01761,0.049487,0.050463,0.454728,0.3121,0.389258,0.316973,0.423244,0.295327,0.371133,0.31323,0.380616,0.244575,0.346277,0.295581
3,$20\%$,0.296944,0.001937,0.009321,0.012008,0.267595,0.005137,0.020219,0.02684,0.261266,0.015141,0.043817,0.047328,0.457482,0.317156,0.392732,0.316456,0.421647,0.299119,0.381554,0.316272,0.368289,0.253036,0.363381,0.307373
4,$30\%$,0.194146,0.001793,0.007727,0.009788,0.164302,0.004614,0.018405,0.022382,0.176693,0.014255,0.042432,0.044848,0.474627,0.320586,0.393408,0.317353,0.437002,0.302316,0.38632,0.317475,0.368817,0.258108,0.371317,0.311031
5,$40\%$,0.063265,0.001598,0.007104,0.009339,0.046369,0.004375,0.017217,0.019415,0.069643,0.013602,0.042012,0.043134,0.44703,0.320871,0.391066,0.320957,0.415882,0.304378,0.389006,0.317343,0.365179,0.262313,0.3778,0.314431
6,$50\%$,0.010284,0.001548,0.006806,0.009124,0.015507,0.004095,0.016466,0.016915,0.028454,0.013446,0.040636,0.041943,0.388038,0.32283,0.391872,0.326015,0.369867,0.304615,0.390316,0.316935,0.332127,0.265149,0.381797,0.316593
7,$60\%$,0.006421,0.00147,0.00658,0.008871,0.008415,0.00437,0.014878,0.014655,0.020255,0.013003,0.038385,0.040817,0.377258,0.322974,0.394734,0.329551,0.366612,0.304882,0.393205,0.318036,0.33093,0.269045,0.385782,0.317779
8,$70\%$,0.006283,0.001394,0.006558,0.008692,0.006619,0.004239,0.014677,0.013327,0.0177,0.012628,0.036001,0.039868,0.3802,0.325083,0.391836,0.331055,0.368081,0.303564,0.392163,0.318907,0.333327,0.272265,0.387987,0.319148
9,$80\%$,0.006797,0.001378,0.00624,0.008308,0.005928,0.004356,0.014538,0.012099,0.017201,0.012337,0.033947,0.039155,0.379883,0.325576,0.394095,0.3331,0.369765,0.304707,0.393722,0.32022,0.334322,0.275109,0.389622,0.319449
10,$90\%$,0.006861,0.001377,0.006317,0.008198,0.005782,0.004352,0.013822,0.010817,0.017005,0.011726,0.031689,0.038193,0.379347,0.325483,0.395327,0.332853,0.371474,0.304824,0.391665,0.320366,0.336473,0.277512,0.391081,0.318619
11,$100\%$,0.006893,0.001369,0.006285,0.007727,0.005779,0.004396,0.013638,0.01009,0.016138,0.011745,0.030257,0.03737,0.380711,0.326371,0.394436,0.331465,0.372497,0.305566,0.393828,0.319833,0.338378,0.278488,0.39147,0.320051
