X,mean,VSD_MOEA_Distance_50,R2_MOEA_Distance_50,CPDEA_Distance_50,MOEA_D_Distance_50,VSD_MOEA_Distance_100,R2_MOEA_Distance_100,CPDEA_Distance_100,MOEA_D_Distance_100,VSD_MOEA_Distance_250,R2_MOEA_Distance_250,CPDEA_Distance_250,MOEA_D_Distance_250,VSD_MOEA_Position_50,R2_MOEA_Position_50,CPDEA_Position_50,MOEA_D_Position_50,VSD_MOEA_Position_100,R2_MOEA_Position_100,CPDEA_Position_100,MOEA_D_Position_100,VSD_MOEA_Position_250,R2_MOEA_Position_250,CPDEA_Position_250,MOEA_D_Position_250
1,$0\%$,0.407715,0.40613,0.406559,0.406559,0.407267,0.406922,0.407807,0.407807,0.407898,0.407737,0.408198,0.408198,0.398349,0.400745,0.397577,0.397193,0.403673,0.403596,0.402592,0.403874,0.405594,0.406164,0.406124,0.407527
2,$10\%$,0.371727,0.114892,0.512252,0.009671,0.354471,0.16931,0.464656,0.020245,0.347743,0.209858,0.425823,0.077576,0.452101,0.348333,0.382538,0.336854,0.4256,0.365069,0.383821,0.344099,0.383217,0.35216,0.359774,0.326966
3,$20\%$,0.292109,0.093178,0.530165,0.008259,0.272882,0.151325,0.478234,0.016389,0.283983,0.200065,0.437077,0.059039,0.441519,0.348191,0.386349,0.339773,0.414417,0.364454,0.388128,0.345736,0.35994,0.3566,0.368538,0.335566
4,$30\%$,0.207189,0.077041,0.54101,0.004026,0.226473,0.137326,0.487409,0.015438,0.257182,0.196132,0.443506,0.048373,0.43645,0.350651,0.389365,0.342979,0.411662,0.363411,0.392809,0.345627,0.363074,0.358427,0.369373,0.338763
5,$40\%$,0.141318,0.064062,0.548774,0.002629,0.191549,0.124966,0.492595,0.013711,0.201083,0.190514,0.450033,0.039545,0.411381,0.352569,0.387008,0.34773,0.389914,0.363144,0.395489,0.346294,0.352235,0.360228,0.372424,0.340857
6,$50\%$,0.1088,0.054336,0.553133,0.001788,0.173153,0.114109,0.495102,0.014395,0.158518,0.184402,0.460016,0.033899,0.378455,0.352309,0.390882,0.349816,0.363909,0.361758,0.396812,0.347181,0.340692,0.361314,0.375236,0.341703
7,$60\%$,0.089266,0.046081,0.370881,0.001346,0.153298,0.10433,0.428844,0.0144,0.148824,0.177146,0.317082,0.030964,0.372007,0.354535,0.388508,0.349744,0.360218,0.36129,0.398279,0.346533,0.342324,0.361864,0.377416,0.34312
8,$70\%$,0.076535,0.039518,0.360227,0.001059,0.139084,0.096586,0.418812,0.013359,0.158684,0.170038,0.297934,0.031029,0.369249,0.355953,0.391957,0.349509,0.358684,0.360754,0.3992,0.346775,0.344341,0.362837,0.37956,0.343974
9,$80\%$,0.06632,0.034007,0.355593,0.00087,0.127332,0.088717,0.410483,0.01416,0.16482,0.163351,0.288942,0.02804,0.370206,0.357197,0.393108,0.349049,0.358506,0.360106,0.398857,0.347173,0.343849,0.364349,0.381409,0.344313
10,$90\%$,0.057671,0.029386,0.349113,0.00074,0.118264,0.081767,0.406828,0.013297,0.172446,0.15764,0.280554,0.027996,0.370897,0.358015,0.391874,0.349801,0.359158,0.358804,0.399588,0.347543,0.344157,0.364433,0.384604,0.34481
11,$100\%$,0.050415,0.025491,0.342808,0.000637,0.109506,0.075149,0.398833,0.012907,0.176164,0.151557,0.276036,0.02738,0.368743,0.358835,0.391514,0.348821,0.3595,0.358036,0.399333,0.347873,0.34426,0.365298,0.384761,0.344931
