X,mean_short,MOEA_D_short,CPDEA_short,R2_MOEA_short,VSD_MOEA_short,mean_middle,MOEA_D_middle,CPDEA_middle,R2_MOEA_middle,VSD_MOEA_middle,mean_long,MOEA_D_long,CPDEA_long,R2_MOEA_long,VSD_MOEA_long,mean_percent
1,300,0.7128153,0.469063,0.6973542,0.2690966,2500,0.8609944,0.5631641,0.8259815,0.4559661,25000,0.8963686,0.6587489,0.8554291,0.5598386,10\%
2,500,0.7581155,0.4894358,0.7331597,0.4024837,5000,0.8747023,0.5970576,0.835123,0.548773,50000,0.9022678,0.6936782,0.8660145,0.6374213,20\%
3,800,0.7847546,0.5029043,0.7522572,0.5118509,7500,0.8806601,0.6107725,0.8395714,0.6457936,75000,0.905569,0.7047987,0.8703253,0.7601809,30\%
4,1000,0.8002787,0.5168775,0.7712524,0.6067097,10000,0.884789,0.6205893,0.8429053,0.782635,100000,0.9088405,0.7093716,0.8727767,0.8713494,40\%
5,1300,0.8153514,0.5278894,0.7890876,0.7283564,12500,0.8889259,0.6284002,0.8459295,0.9260479,125000,0.9107045,0.7126916,0.8749089,0.952379,50\%
6,1500,0.8315313,0.7491041,0.800693,0.8127781,15000,0.891127,0.8882309,0.848618,0.9373024,150000,0.9120289,0.9248523,0.8760522,0.954516,60\%
7,1800,0.8412545,0.7808132,0.8119931,0.8263103,17500,0.8931285,0.9011276,0.8512111,0.9407185,175000,0.9128232,0.9279721,0.8772359,0.9562069,70\%
8,2000,0.8486812,0.7999583,0.8184477,0.8359927,20000,0.8946644,0.9061075,0.8525349,0.9416402,200000,0.9136567,0.9297974,0.8789269,0.9581613,80\%
9,2300,0.8556685,0.8124838,0.8236749,0.8413127,22500,0.8955073,0.9087901,0.8540743,0.9423837,225000,0.9143978,0.9310572,0.8808493,0.9602896,90\%
10,2500,0.8609769,0.8200433,0.8259804,0.853528,25000,0.8963683,0.9104044,0.8554271,0.9428513,250000,0.9150373,0.9319756,0.8813734,0.96154,100\%
