X,mean,VSD_MOEA_Distance_50,R2_MOEA_Distance_50,NSGA_II_Distance_50,MOEA_D_Distance_50,VSD_MOEA_Distance_100,R2_MOEA_Distance_100,NSGA_II_Distance_100,MOEA_D_Distance_100,VSD_MOEA_Distance_250,R2_MOEA_Distance_250,NSGA_II_Distance_250,MOEA_D_Distance_250,VSD_MOEA_Position_50,R2_MOEA_Position_50,NSGA_II_Position_50,MOEA_D_Position_50,VSD_MOEA_Position_100,R2_MOEA_Position_100,NSGA_II_Position_100,MOEA_D_Position_100,VSD_MOEA_Position_250,R2_MOEA_Position_250,NSGA_II_Position_250,MOEA_D_Position_250
1,$0\%$,0.406656,0.406253,0.406146,0.407156,0.407899,0.407163,0.406888,0.407446,0.408017,0.407733,0.408026,0.408086,0.398349,0.400745,0.397577,0.397193,0.403673,0.403596,0.402592,0.403874,0.405594,0.406164,0.406124,0.407527
2,$10\%$,0.387062,0.046812,0.064088,0.050459,0.362544,0.063045,0.112087,0.067698,0.350915,0.130399,0.156236,0.098799,0.452101,0.348333,0.382538,0.336854,0.4256,0.365069,0.383821,0.344099,0.383217,0.35216,0.359774,0.326966
3,$20\%$,0.304945,0.042857,0.058548,0.043915,0.275869,0.055681,0.101226,0.061959,0.279664,0.110315,0.147479,0.087931,0.441519,0.348191,0.386349,0.339773,0.414417,0.364454,0.388128,0.345736,0.35994,0.3566,0.368538,0.335566
4,$30\%$,0.222652,0.041352,0.055147,0.040679,0.196204,0.052748,0.09421,0.057759,0.23258,0.100713,0.143314,0.083249,0.43645,0.350651,0.389365,0.342979,0.411662,0.363411,0.392809,0.345627,0.363074,0.358427,0.369373,0.338763
5,$40\%$,0.138752,0.039889,0.053772,0.039498,0.120067,0.050972,0.086334,0.055276,0.165993,0.095463,0.141965,0.080796,0.411381,0.352569,0.387008,0.34773,0.389914,0.363144,0.395489,0.346294,0.352235,0.360228,0.372424,0.340857
6,$50\%$,0.095714,0.0386,0.052771,0.038149,0.083288,0.049616,0.080273,0.05353,0.124633,0.092403,0.14081,0.079373,0.378455,0.352309,0.390882,0.349816,0.363909,0.361758,0.396812,0.347181,0.340692,0.361314,0.375236,0.341703
7,$60\%$,0.081672,0.03774,0.051778,0.036849,0.074963,0.048636,0.075634,0.051595,0.110492,0.089745,0.139212,0.078557,0.372007,0.354535,0.388508,0.349744,0.360218,0.36129,0.398279,0.346533,0.342324,0.361864,0.377416,0.34312
8,$70\%$,0.075974,0.037176,0.050511,0.035666,0.071231,0.047613,0.071459,0.049891,0.103562,0.087926,0.138758,0.077585,0.369249,0.355953,0.391957,0.349509,0.358684,0.360754,0.3992,0.346775,0.344341,0.362837,0.37956,0.343974
9,$80\%$,0.072741,0.036833,0.049812,0.034711,0.070281,0.046978,0.068778,0.048773,0.099098,0.086507,0.137972,0.076861,0.370206,0.357197,0.393108,0.349049,0.358506,0.360106,0.398857,0.347173,0.343849,0.364349,0.381409,0.344313
10,$90\%$,0.071143,0.036576,0.049492,0.034172,0.067608,0.046242,0.065741,0.047696,0.097349,0.085229,0.137789,0.076113,0.370897,0.358015,0.391874,0.349801,0.359158,0.358804,0.399588,0.347543,0.344157,0.364433,0.384604,0.34481
11,$100\%$,0.069648,0.03633,0.048358,0.033504,0.066289,0.046039,0.064193,0.046807,0.095796,0.08423,0.137173,0.075148,0.368743,0.358835,0.391514,0.348821,0.3595,0.358036,0.399333,0.347873,0.34426,0.365298,0.384761,0.344931
