X,mean,MOEA_D,NSGA_II,R2_MOEA,VSD_MOEA,MOEA_D_Distance,NSGA_II_Distance,R2_MOEA_Distance,VSD_MOEA_Distance,MOEA_D_Position,NSGA_II_Position,R2_MOEA_Position,VSD_MOEA_Position
1,$0\%$,1.985207,1.984417,1.986497,1.986663,1.807407,1.808157,1.81023,1.810232,0.782039,0.778656,0.779103,0.779209
2,$10\%$,0.436754,0.444565,0.311341,2.266455,0,0.000717,0,1.982666,0.436754,0.444403,0.311341,1.04542
3,$20\%$,0.416397,0.434417,0.314644,2.075097,0,0.000624,0,1.763262,0.416397,0.434273,0.314644,1.039834
4,$30\%$,0.409615,0.430478,0.314034,1.905074,0,0.00081,0,1.560838,0.409615,0.430323,0.314034,1.036537
5,$40\%$,0.408989,0.443007,0.315143,1.715824,0,0.000595,0,1.346382,0.408989,0.442874,0.315143,1.010719
6,$50\%$,0.409287,0.441187,0.316102,1.526671,0,0.000671,0,1.091672,0.409287,0.441052,0.316102,1.014072
7,$60\%$,0.413995,0.434071,0.317755,1.339858,0,0.00081,0,0.821323,0.413995,0.433863,0.317755,1.009454
8,$70\%$,0.411232,0.43855,0.317792,1.156747,0,0.000636,0,0.462157,0.411232,0.438371,0.317792,1.016754
9,$80\%$,0.409483,0.441077,0.318992,0.953976,0,0.000571,0,0.024612,0.409483,0.44098,0.318992,0.949369
10,$90\%$,0.410155,0.44496,0.319478,0.759083,0,0.000809,0,4.6E-05,0.410155,0.444745,0.319478,0.759081
11,$100\%$,0.409522,0.422389,0.322114,0.617386,0,0.000535,0,0,0.409522,0.422271,0.322114,0.617386
