X,mean,MOEA_D,NSGA_II,R2_MOEA,VSD_MOEA
1,2500,0.8106709757,0.8353783916,0.8246264976,0.8413701141
2,5000,0.8229099115,0.8458275394,0.8324921516,0.8932293535
3,7500,0.828623327,0.8505358096,0.8363512934,0.9120290657
4,10000,0.8310876077,0.8529281869,0.839209982,0.9221794767
5,12500,0.8343583042,0.8551927407,0.8422755233,0.9273223864
6,15000,0.8369903844,0.8569130962,0.8440683792,0.9278318801
7,17500,0.839941896,0.8585227622,0.8463204962,0.9310404611
8,20000,0.8427902211,0.8596602468,0.8482706262,0.9333269697
9,22500,0.8456260595,0.8611260187,0.8497845295,0.935020549
10,25000,0.8475802801,0.8629178408,0.8515714129,0.9343864157
11,50000,0.8565383857,0.8713053494,0.8614635443,0.9412568829
12,75000,0.8637330409,0.8763376353,0.8672347627,0.945895092
13,100000,0.868665355,0.8796541687,0.8707382711,0.9483520944
14,125000,0.8741754184,0.8817730438,0.8726947946,0.9506024175
15,150000,0.8765616321,0.882711748,0.8753800847,0.9510680908
16,175000,0.877867437,0.8836397623,0.8772310585,0.952914891
17,200000,0.879343075,0.8847244126,0.8796939715,0.9533947404
18,225000,0.880274916,0.8855603188,0.8809021551,0.9549905108
19,250000,0.880993081,0.8861657468,0.8817920019,0.9552005095
