X,mean,MOEA_D,NSGA_II,R2_MOEA,VSD_MOEA,MOEA_D_Distance,NSGA_II_Distance,R2_MOEA_Distance,VSD_MOEA_Distance,MOEA_D_Position,NSGA_II_Position,R2_MOEA_Position,VSD_MOEA_Position
1,$0\%$,1.985207,1.984417,1.986497,1.986663,1.807407,1.808157,1.81023,1.810232,0.782039,0.778656,0.779103,0.779209
2,$10\%$,0.645805,0.666681,0.687928,2.46704,0.035859,0.100868,0.05882,2.277882,0.635488,0.652517,0.668763,0.900291
3,$20\%$,0.646153,0.671837,0.687266,2.446485,0.03544,0.100691,0.056953,2.259137,0.636008,0.658051,0.668725,0.891638
4,$30\%$,0.64586,0.669011,0.686878,2.426287,0.034631,0.099722,0.056752,2.238174,0.636106,0.655162,0.668415,0.888728
5,$40\%$,0.645541,0.68878,0.686594,2.410202,0.033979,0.09833,0.055931,2.221072,0.636043,0.676283,0.668417,0.886957
6,$50\%$,0.645708,0.664348,0.686367,2.376101,0.033986,0.089827,0.055931,2.183505,0.636195,0.654485,0.668186,0.884992
7,$60\%$,0.645798,0.677011,0.686672,2.231788,0.033984,0.092294,0.055931,2.010664,0.636287,0.666216,0.668492,0.887982
8,$70\%$,0.645977,0.67165,0.686388,1.911681,0.033981,0.088506,0.055931,1.625111,0.636464,0.662349,0.668185,0.882773
9,$80\%$,0.64614,0.690013,0.686373,1.602096,0.033975,0.089315,0.05558,1.226802,0.636628,0.680975,0.668304,0.867443
10,$90\%$,0.646126,0.673924,0.686392,1.194126,0.033974,0.089293,0.055731,0.679011,0.636613,0.664523,0.668308,0.808546
11,$100\%$,0.645985,0.676863,0.68629,1.073528,0.033673,0.088914,0.055731,0.528178,0.636559,0.667467,0.668201,0.782758
