%% LaTeX2e file `Diversity2.dat'
%% generated by the `filecontents' environment
%% from source `chacon-ieeetec-17' on 2019/01/26.
%%
X mean MOEA_D NSGA_II R2_MOEA VSD_MOEA
1 0 1.400335 1.396598 1.401837 1.398110
%2 2500000 0.045308 0.049847 0.037247 1.725460
%3 5000000 0.042241 0.048953 0.030595 1.550751
%4 7500000 0.041902 0.048401 0.034543 1.349749
%5 1000000 0.040975 0.051100 0.036511 1.139154
%6 1250000 0.040612 0.049206 0.039198 0.920384
%7 1500000 0.040064 0.045872 0.039391 0.698825
%8 1750000 0.040220 0.047271 0.041174 0.477896
%9 2000000 0.039948 0.048539 0.042561 0.279292
%10 2250000 0.039662 0.048413 0.044314 0.137418
%11 2500000 0.039731 0.049387 0.042651 0.092609
